sprung nr.,t_absprung,t_landung,flugzeit_s,sprunghoehe_cm,messung
1,6.098,6.6115,0.5135,32.33,REAL_1
2,14.3785,14.87,0.4915,29.62,REAL_1
3,21.9205,22.413,0.4925,29.74,REAL_1
4,30.952,31.4745,0.5225,33.48,REAL_1
5,37.8455,38.3245,0.479,28.14,REAL_1
6,46.394,46.9275,0.5335,34.9,REAL_1
1,9.4705,9.9435,0.473,27.43,REAL_2
2,17.144,17.6075,0.4635,26.34,REAL_2
3,25.463,25.957,0.494,29.92,REAL_2
4,33.245,33.7365,0.4915,29.62,REAL_2
5,41.8715,42.3595,0.488,29.2,REAL_2
6,48.864,49.3545,0.4905,29.5,REAL_2
1,11.5615,12.007,0.4455,24.34,VR_1
2,19.679,20.117,0.438,23.52,VR_1
3,27.6855,28.1445,0.459,25.83,VR_1
4,35.689,36.156,0.467,26.74,VR_1
5,43.7725,44.2655,0.493,29.8,VR_1
6,51.8315,52.335,0.5035,31.09,VR_1
1,9.591,10.0655,0.4745,27.61,VR_2
2,17.713,18.179,0.466,26.63,VR_2
3,25.8015,26.246,0.4445,24.23,VR_2
4,33.8195,34.243,0.4235,21.99,VR_2
5,41.899,42.406,0.507,31.52,VR_2
6,49.9805,50.4845,0.504,31.15,VR_2
