sprung nr.,t_absprung,t_landung,flugzeit_s,sprunghoehe_cm,messung
1,12.3285,12.7925,0.464,26.4,REAL_1
4,35.9955,36.4965,0.501,30.78,REAL_1
5,44.2405,44.7225,0.482,28.49,REAL_1
1,8.1415,8.6065,0.465,26.51,REAL_2
2,16.3,16.744,0.444,24.17,REAL_2
3,24.185,24.695,0.51,31.89,REAL_2
4,31.976,32.452,0.476,27.78,REAL_2
6,48.09,48.595,0.505,31.27,REAL_2
1,12.305,12.7815,0.4765,27.84,VR_1
2,20.35,20.82,0.47,27.09,VR_1
3,28.39,28.8675,0.4775,27.96,VR_1
4,36.443,36.932,0.489,29.32,VR_1
5,44.5375,45.0145,0.477,27.9,VR_1
2,18.8615,19.3485,0.487,29.08,VR_2
3,26.843,27.3325,0.4895,29.38,VR_2
5,42.9625,43.4495,0.487,29.08,VR_2
6,51.02,51.4915,0.4715,27.26,VR_2
